permission_group_id:lookup_permission_group(),service_id:lookup_service()
haii-thaiwater30.agency.agency_summary,GET:v1/dataimport/dataset/lookup
haii-thaiwater30.agency.agency_summary,PUT:v1/dataimport/dataset/status
haii-thaiwater30.agency.agency_summary,POST:v1/dataimport/download/addjob
haii-thaiwater30.agency.agency_summary,GET:v1/dataimport/download
haii-thaiwater30.agency.agency_summary,POST:v1/dataimport/download/qmgr
haii-thaiwater30.agency.agency_summary,GET:v1/dataimport/download/setting
haii-thaiwater30.agency.agency_summary,POST:v1/dataimport/download/uploadfile
haii-thaiwater30.agency.agency_summary,GET:v1/dataimport/download/uploadfiles
haii-thaiwater30.agency.agency_summary,DELETE:v1/dataimport/rdl
haii-thaiwater30.agency.agency_summary,GET:v1/dataimport/rdl
haii-thaiwater30.agency.agency_summary,POST:v1/dataimport/rdl
haii-thaiwater30.agency.agency_summary,POST:v1/dataimport/ximportdata
haii-thaiwater30.agency.agency_summary,GET:v1/haii-system-report/autoreport/data
haii-thaiwater30.agency.agency_summary,GET:v1/haii-system-report/export/data
haii-thaiwater30.agency.agency_summary,POST:v1/haii-system-report/export/data
haii-thaiwater30.agency.agency_summary,GET:v1/haii-system-report/import
haii-thaiwater30.agency.agency_summary,POST:v1/haii-system-report/import
haii-thaiwater30.agency.agency_summary,POST:v1/haii-system-report/jautoreport
haii-thaiwater30.agency.agency_summary,GET:v1/haii-system-report/support
haii-thaiwater30.agency.agency_summary,GET:v1/realm/group
haii-thaiwater30.agency.agency_summary,PATCH:v1/realm/group
haii-thaiwater30.agency.agency_summary,POST:v1/realm/group
haii-thaiwater30.agency.agency_summary,PUT:v1/realm/group
haii-thaiwater30.agency.agency_summary,GET:v1/realm/user
haii-thaiwater30.agency.agency_summary,GET:v1/realm/user-ldap
haii-thaiwater30.agency.agency_summary,POST:v1/realm/user
haii-thaiwater30.agency.agency_summary,PUT:v1/realm/user
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/agency
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/analyst
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/api_service
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/api
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/api
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/api
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/api
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/dataimport_config
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/dataimport_config
haii-thaiwater30.agency.agency_summary,DELETE:v1/thaiwater30/backoffice/dataimport_config_migrate
haii-thaiwater30.agency.agency_summary,GET:v1/thaiwater30/backoffice/dataimport_config_migrate
haii-thaiwater30.agency.agency_summary,POST:v1/thaiwater30/backoffice/dataimport_config_migrate
haii-thaiwater30.agency.agency_summary,PUT:v1/thaiwater30/backoffice/dataimport_config_migrate
