"permission_realm_id:lookup(api.permission_realm,id,name)"|"category"|"name"|"description"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_subtype"|"เมนู ประเภทเหตุการณ์ย่อย"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_method"|"เมนู เงื่อนไขรูปแบบการส่งข้อความ"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_notification"|"เมนู รูปแบบการส่งข้อความ"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_log_sink_method_type"|"เมนู event_log_sink_method_type"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_mgmt_email_sever"|"เมนู ตั้งค่ารูปแบบการส่งข้อความ"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_target"|"เมนู ผู้รับผิดชอบเหตุการณ์"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.event_mail"|"เมนู รูปแบบการแจ้งเตือนทางอีเมล"
"haii-thaiwater30"|"srv"|"backoffice.evmgmt.sink_condition"|"เมนู กำหนดเงื่อนไขเหตุการณ์"
"haii-thaiwater30"|"srv"|"bof.metadata"|"โมดูล บัญชีข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.metadata"|"เมนู บัญชีข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.summary_meta"|"เมนู บัญชีข้อมูลที่เชื่อมโยง"
"haii-thaiwater30"|"srv"|"backoffice.metadata.category"|"เมนู หมวดข้อมูลหลัก"
"haii-thaiwater30"|"srv"|"backoffice.metadata.subcat"|"เมนู หมวดข้อมูลย่อย"
"haii-thaiwater30"|"srv"|"backoffice.metadata.unit"|"เมนู หน่วยข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.frequency"|"เมนุ หน่วยความถี่"
"haii-thaiwater30"|"srv"|"backoffice.metadata.agency"|"เมนู หน่วยงานที่เชื่อมโยง"
"haii-thaiwater30"|"srv"|"backoffice.metadata.department"|"เมนู หน่วยงานระดับกรม"
"haii-thaiwater30"|"srv"|"backoffice.metadata.ministry"|"เมนู หน่วยงานระดับกระทรวง"
"haii-thaiwater30"|"srv"|"backoffice.metadata.service_method"|"เมนู วีธีการให้บริการข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.hydroinfo"|"เมนู กลุ่มข้อมูลด้านน้ำและภูมิอากาศ"
"haii-thaiwater30"|"srv"|"backoffice.metadata.backoffice.method"|"เมนู วิธีการได้มาซึ่งข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.data_format"|"เมนู รูปแบบข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.metadata.metadata_status"|"เมนู สถานะบัญชีข้อมูล"
"haii-thaiwater30"|"srv"|"bof.uac"|"โมดูล บริหารจัดการสิทธิ์"
"haii-thaiwater30"|"srv"|"uac.user"|"เมนู จัดการผู้ใช้งาน"
"haii-thaiwater30"|"srv"|"uac.user_setting"|"เมนู ตั้งค่าผู้ใช้งาน"
"haii-thaiwater30"|"srv"|"uac.group"|"เมนู จัดการกลุ่มผู้ใช้งาน"
"haii-thaiwater30"|"srv"|"uac.management_system"|"เมนุ จัดการระบบ"
"haii-thaiwater30"|"srv"|"agc.agency"|"โมดูล หน่วยงานภายนอก"
"haii-thaiwater30"|"srv"|"agency.agency_summary"|"เมนู ภาพรวมรายเดือนของคลัง"
"haii-thaiwater30"|"srv"|"agency.agency_shopping"|"เมนู สรุปข้อมูลหน่วยงานที่เชื่อมโยง"
"haii-thaiwater30"|"srv"|"bof.data_integration"|"โมดูล เชื่อมโยงข้อมูล"
"haii-thaiwater30"|"srv"|"backoffice.apis.monitor_api_service"|"เมนู การจัดการ key access service"
"haii-thaiwater30"|"user"|"thaiwater30-Shopping"|"สำหรับผู้ใช้งานระบบให้บริการข้อมูล"
"haii-thaiwater30"|"user"|"UserShopping"|"ระบบให้บริการข้อมูลสำหรับหน่วยงาน 34 แห่ง"
"haii-thaiwater30"|"srv"|"realm.data_service"|"data_service"
"haii-thaiwater30"|"user"|"cim system (Test render menu)"|"ทดสอบกรองเมนู กรณีที่ผู้ใช้มีสิทธิ์ใช้งานแค่ 1 เมนู"
"haii-thaiwater30"|"srv"|"data_service"|"เมนูรายการบัญชีข้อมูล"
"haii-thaiwater30"|"srv"|"data_service.history"|"ประวัติการขอข้อมูล"
"haii-thaiwater30"|"srv"|"x"|"ระบบติดตามวิเคราะห์และรายงานสถานการณ์น้ำ, ระบบแสดงผลข้อมูล"
"haii-thaiwater30"|"srv"|"uac.user_history"|"เมนู ประวัติการเข้าสู่ระบบ"
"haii-thaiwater30"|"user"|"Metadata"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลบัญชีข้อมูล"
"haii-thaiwater30"|"user"|"Event Management"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลจัดการเหตุการณ์  "
"haii-thaiwater30"|"user"|"Data Integration Report"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลรายงานระบบนำเข้าข้อมูล"
"haii-thaiwater30"|"user"|"Data Management"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลการบริหารจัดการข้อมูล  "
"haii-thaiwater30"|"user"|"Data Service (BOF)"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลการให้บริการข้อมูล"
"haii-thaiwater30"|"user"|"DBA"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลจัดการฐานข้อมูล  "
"haii-thaiwater30"|"user"|"APIs"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูล APIs"
"haii-thaiwater30"|"user"|"Data Integration"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลเชื่อมโยงข้อมูล "
"haii-thaiwater30"|"user"|"Tools"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับโมดูลแสดงผลข้อมูล"
"haii-thaiwater30"|"user"|"UAC Admin"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับระบบบริหารจัดการสิทธิ์  "
"haii-thaiwater30"|"user"|"Agency System"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับหน่วยงานภายนอก"
"haii-thaiwater30"|"user"|"Analyst Group"|"กลุ่มผู้ใช้งานสำหรับนักวิเคราะห์"
"haii-thaiwater30"|"user"|"Coordinator Group"|"กลุ่มผู้ใช้งานสำหรับผู้ประสานงาน"
"haii-thaiwater30"|"user"|"Developer Group"|"กลุ่มผู้ใช้งานสำหรับนักพัฒนาระบบ"
"haii-thaiwater30"|"user"|"System Administrator Group"|"กลุ่มผู้ใช้งานสำหรับผู้ดูแลระบบบริหารจัดการสิทธิ์"
"haii-thaiwater30"|"user"|"Data Service System"|"ตัวอย่างกลุ่มผู้ใช้งานสำหรับระบบให้บริการข้อมูล"
"haii-thaiwater30"|"user"|"Agency Group"|"กลุ่มผู้ใช้งานหน่วยงาน"
"haii-thaiwater30"|"srv"|"backoffice.metadata.method"|"วิธีการได้มาซึ่งข้อมูล"
